zip,donations,total,population,rate_per_1000
20601,1425,35154.4,NA,NA
20602,897,22974.03999999998,NA,NA
20603,1449,54640.36000000012,NA,NA
20604,58,1159.21,NA,NA
20606,21,293.6,NA,NA
20607,578,12869.199999999992,NA,NA
20608,26,960.7,NA,NA
20609,48,2305.44,NA,NA
20610,40,2338.0399999999995,NA,NA
20611,35,826.2,NA,NA
20612,146,717.07,NA,NA
20613,1242,21712.14999999992,NA,NA
20615,156,2400.2400000000016,NA,NA
20616,292,6938.139999999999,NA,NA
20617,122,2581.13,NA,NA
20618,111,3086.189999999999,NA,NA
20619,1321,50741.130000000056,NA,NA
20620,163,5863.94,NA,NA
20621,39,1845.4899999999996,NA,NA
20622,383,17405.309999999994,NA,NA
20623,103,2147.44,NA,NA
20624,18,727.2300000000001,NA,NA
20625,26,1835.37,NA,NA
20626,16,1488.6,NA,NA
20627,3,520.24,NA,NA
20628,88,2661.529999999999,NA,NA
20630,57,8129.480000000001,NA,NA
20632,74,1660.4599999999996,NA,NA
20634,2590,41293.05999999995,NA,NA
20636,1831,39801.99999999989,NA,NA
20637,1342,50569.88999999994,NA,NA
20639,4060,78700.29000000027,NA,NA
20640,1132,23500.44999999996,NA,NA
20645,104,2337.07,NA,NA
20646,5750,92164.8600000004,NA,NA
20650,6687,111278.18000000074,NA,NA
20653,2289,45948.46000000004,NA,NA
20656,4,4,NA,NA
20657,1350,80439.92000000038,NA,NA
20658,11,1121.18,NA,NA
20659,3755,91069.19000000054,NA,NA
20660,2,2000,NA,NA
20662,133,9742.390000000005,NA,NA
20664,281,8245.47,NA,NA
20667,30,1417.13,NA,NA
20670,19,705.89,NA,NA
20674,209,9114.100000000006,NA,NA
20675,131,4188.69,NA,NA
20676,691,23146.85999999999,NA,NA
20677,10510,52261.30000000037,NA,NA
20678,2547,50940.49999999995,NA,NA
20680,44,1978.8,NA,NA
20684,75,3987.879999999999,NA,NA
20685,1045,30678.48999999994,NA,NA
20686,5,389.33,NA,NA
20687,7,244.3,NA,NA
20688,2245,37209.47999999994,NA,NA
20689,49,2773.0099999999998,NA,NA
20690,735,14588.270000000004,NA,NA
20692,20,1091.63,NA,NA
20693,52,1714.5400000000006,NA,NA
20695,426,14520.069999999992,NA,NA
20701,15,1439.86,NA,NA
20703,36,1705.4399999999998,NA,NA
